/***************************************/
/                JRF LOG                /
/***************************************/

Patient body weight: 70.00 kg
Patient height: 1.70 m

Frame		Fa_x		Fa_y		Ma		Fk_x		Fk_y		Mk		F_k total
1		26.79		4.96		3.43		64.74		38.78		10.70		75.47
2		25.29		0.00		3.64		51.30		33.14		11.10		61.07
3		22.44		-4.02		3.55		38.62		26.97		11.13		47.10
4		19.00		-6.41		3.23		27.66		21.45		10.54		35.00
5		15.77		-6.99		2.76		19.13		17.55		9.37		25.96
6		13.10		-6.00		2.23		12.88		15.29		7.78		19.99
7		10.99		-3.83		1.71		8.45		14.79		5.89		17.04
8		9.34		-0.84		1.24		5.43		16.28		3.87		17.16
9		8.06		2.58		0.89		3.47		19.50		1.96		19.81
10		7.00		6.10		0.67		2.06		23.64		0.34		23.73
11		5.97		9.58		0.59		0.73		28.27		-1.03		28.27
12		4.76		12.99		0.58		-0.87		33.63		-2.24		33.64
13		3.20		16.16		0.62		-3.28		39.53		-3.36		39.67
14		1.20		18.74		0.68		-6.91		45.00		-4.36		45.53
15		-1.14		20.53		0.74		-11.65		49.28		-5.26		50.63
16		-3.79		21.52		0.80		-17.52		52.25		-6.14		55.11
17		-6.90		21.70		0.77		-24.41		53.99		-7.30		59.25
18		-10.61		20.90		0.65		-31.57		54.30		-8.71		62.81
19		-14.76		18.89		0.39		-38.19		52.97		-10.44		65.30
20		-19.07		15.65		-0.03		-44.20		50.41		-12.53		67.05
21		-23.17		11.45		-0.49		-49.80		47.19		-14.90		68.61
22		-26.63		6.67		-1.01		-54.76		42.99		-17.50		69.62
23		-28.96		2.01		-1.50		-58.19		37.46		-19.71		69.20
24		-29.67		-1.56		-1.82		-59.06		31.77		-20.90		67.06
25		-28.32		-3.10		-1.91		-56.54		28.32		-20.35		63.23
26		-24.88		-2.12		-1.75		-50.66		29.35		-17.73		58.55
27		-19.93		1.22		-1.37		-42.49		35.62		-13.44		55.45
28		-60.70		-101.55		-2.91		-79.80		-62.26		-43.07		101.22
29		-4.99		-227.03		5.10		-20.93		-183.15		-25.38		184.34
30		46.82		-361.09		10.06		33.47		-315.06		-9.72		316.84
31		85.97		-482.70		4.01		73.92		-437.78		-5.15		443.98
32		109.00		-571.57		9.27		95.95		-530.68		10.30		539.29
33		122.96		-627.76		6.30		106.53		-592.64		18.57		602.14
34		133.31		-667.44		7.13		113.04		-637.69		31.72		647.63
35		138.81		-702.08		3.96		116.64		-675.39		39.94		685.39
36		135.02		-727.89		-0.04		113.47		-701.63		43.97		710.74
37		119.88		-735.07		0.08		100.06		-707.79		46.69		714.83
38		96.85		-717.85		-4.67		78.72		-689.11		39.88		693.59
39		74.45		-678.95		-6.06		58.41		-648.29		34.99		650.92
40		58.18		-627.78		-8.28		45.52		-594.55		30.51		596.29
41		47.91		-574.05		-12.78		39.80		-538.41		25.21		539.88
42		40.33		-524.56		-13.29		36.82		-488.36		24.22		489.75
43		33.60		-483.93		-17.76		33.79		-449.91		19.09		451.18
44		27.68		-455.71		-23.30		30.35		-425.50		13.32		426.58
45		23.43		-441.14		-27.82		27.47		-414.09		9.52		415.00
46		21.61		-437.94		-31.15		25.97		-412.06		8.24		412.88
47		21.72		-442.97		-34.31		25.85		-416.31		8.28		417.11
48		21.61		-453.14		-37.42		25.55		-424.30		8.58		425.07
49		18.79		-466.58		-41.18		22.60		-434.94		7.53		435.53
50		12.71		-484.02		-47.74		15.97		-449.74		2.95		450.03
51		5.25		-506.76		-55.73		7.40		-470.59		-2.82		470.65
52		-2.67		-533.82		-55.95		-1.20		-496.61		-0.10		496.61
53		-11.07		-563.84		-66.04		-8.46		-526.24		-6.21		526.31
54		-20.80		-597.61		-72.64		-15.20		-560.02		-7.85		560.22
55		-33.50		-634.42		-80.27		-24.49		-597.08		-10.23		597.58
56		-49.93		-669.85		-88.37		-38.28		-633.26		-13.48		634.42
57		-67.90		-700.21		-96.15		-53.93		-665.03		-16.27		667.21
58		-83.50		-724.19		-103.03		-65.95		-690.53		-16.42		693.67
59		-96.10		-740.05		-107.76		-73.09		-707.37		-12.88		711.14
60		-107.82		-743.81		-111.19		-78.10		-711.59		-8.53		715.86
61		-118.81		-730.70		-111.40		-82.19		-698.77		-3.45		703.59
62		-127.80		-697.06		-107.64		-85.13		-664.93		2.04		670.36
63		-132.67		-639.19		-99.03		-86.22		-606.06		7.29		612.16
64		-130.11		-555.21		-85.42		-83.53		-520.61		11.68		527.27
65		-117.45		-449.31		-67.19		-74.19		-413.70		15.25		420.30
66		-94.86		-332.62		-47.86		-56.84		-296.59		16.41		301.99
67		-64.87		-220.75		-29.59		-32.35		-184.29		15.92		187.11
68		-32.32		-125.31		-14.46		-4.75		-87.98		14.12		88.10
69		-1.81		-46.50		-3.24		21.34		-8.45		10.08		22.95
70		21.87		4.52		3.31		41.18		42.14		6.62		58.92
71		21.52		0.43		3.56		38.12		35.71		8.19		52.23
72		20.18		-3.25		3.44		35.15		27.93		9.47		44.90
73		18.27		-5.64		3.03		31.84		20.72		10.08		37.99
74		16.16		-6.21		2.47		27.65		16.05		9.67		31.97
75		14.16		-4.94		1.91		22.75		14.65		8.30		27.06
76		12.43		-2.51		1.46		17.61		15.59		6.46		23.52
77		10.90		0.22		1.13		12.76		17.28		4.57		21.48
78		9.45		2.83		0.92		8.44		19.14		2.86		20.92
79		8.06		5.52		0.78		4.93		22.06		1.25		22.60
80		6.75		8.52		0.72		2.23		26.58		-0.28		26.67
81		5.52		11.70		0.73		0.05		32.21		-1.59		32.21
82		4.35		14.90		0.82		-1.93		38.17		-2.52		38.22
83		3.08		18.00		0.91		-4.15		44.13		-3.20		44.33
84		1.35		20.78		0.97		-7.31		49.58		-3.77		50.12
85		-1.10		22.79		0.96		-12.00		53.58		-4.45		54.91
86		-4.43		23.60		0.93		-18.58		55.69		-5.43		58.71
87		-8.70		23.04		0.87		-26.96		56.37		-7.03		62.49
88		-13.82		21.02		0.65		-36.54		55.95		-9.44		66.82
89		-19.50		17.44		0.22		-46.68		53.86		-12.70		71.27
90		-25.08		12.46		-0.42		-55.91		49.83		-16.45		74.89
91		-29.53		6.80		-1.07		-61.95		44.33		-19.75		76.17
92		-31.94		1.49		-1.64		-63.42		38.44		-21.83		74.16
93		-31.88		-2.30		-1.97		-60.59		33.66		-22.18		69.31
94		-29.33		-3.58		-2.10		-54.43		32.25		-20.46		63.27
95		-24.77		-2.00		-2.00		-46.02		35.34		-16.83		58.02
96		-19.18		1.77		-1.64		-36.96		41.44		-12.08		55.53
97		-13.98		6.33		-1.00		-29.24		47.90		-7.52		56.12
98		-10.29		10.42		-0.19		-24.78		52.74		-4.21		58.27
99		-8.37		13.32		0.63		-24.13		54.62		-2.66		59.71
100		-7.58		14.80		1.25		-26.53		53.11		-2.54		59.37
101		-7.14		15.10		1.59		-30.64		49.18		-3.26		57.94
102		-6.62		14.63		1.64		-34.97		44.80		-4.19		56.83
103		-5.76		13.90		1.52		-37.23		41.82		-4.76		55.99
104		-4.28		13.29		1.36		-35.50		41.02		-4.45		54.25
105		-2.31		12.79		1.20		-29.92		41.60		-3.31		51.24
106		-0.46		12.12		1.00		-23.21		42.07		-1.98		48.04
