Frame,Time (s),Ankle_x (m),Ankle_y (m),Theta (deg),Omega (rad/s),Alpha (rad/s^2)
1,0,0.0939,0.2143,46.7,6.74,-21.91
2,0.014,0.1279,0.2251,52.1,6.23,-46.59
3,0.029,0.1653,0.2337,56.9,5.41,-65.29
4,0.043,0.2054,0.2396,61,4.37,-77.66
5,0.057,0.2477,0.2423,64.1,3.19,-84.77
6,0.072,0.2917,0.2417,66.2,1.94,-87.62
7,0.086,0.3372,0.2379,67.3,0.68,-86.54
8,0.1,0.3841,0.2311,67.3,-0.53,-81.99
9,0.114,0.4322,0.2219,66.4,-1.66,-75.17
10,0.129,0.4817,0.2106,64.6,-2.68,-67.64
11,0.143,0.5326,0.1979,62,-3.6,-60.31
12,0.157,0.5848,0.1844,58.7,-4.41,-53.09
13,0.172,0.6384,0.1707,54.8,-5.11,-45.78
14,0.186,0.6931,0.1577,50.3,-5.72,-38.95
15,0.2,0.7486,0.146,45.4,-6.23,-32.91
16,0.215,0.8045,0.136,40.1,-6.66,-26.57
17,0.229,0.86,0.1282,34.5,-6.99,-18.05
18,0.243,0.9145,0.1226,28.7,-7.17,-5.87
19,0.257,0.9672,0.1192,22.8,-7.16,10.65
20,0.272,1.0173,0.1177,16.9,-6.87,31.09
21,0.286,1.0641,0.1175,11.5,-6.27,53.59
22,0.3,1.1068,0.1182,6.7,-5.34,74.76
23,0.315,1.1447,0.119,2.7,-4.13,90.62
24,0.329,1.1771,0.1193,-0.1,-2.75,97.96
25,0.343,1.2038,0.1185,-1.8,-1.33,95.28
26,0.357,1.2249,0.1162,-2.3,-0.02,82.64
27,0.372,1.2413,0.1126,-1.8,1.04,62.4
28,0.386,1.2539,0.1081,-0.6,1.76,40.55
29,0.4,1.2639,0.1037,1.1,2.2,24.37
30,0.415,1.272,0.0999,3,2.46,16.62
31,0.429,1.2789,0.0972,5.1,2.67,12.93
32,0.443,1.2846,0.0955,7.4,2.83,5.97
33,0.458,1.2894,0.0945,9.8,2.84,-8.17
34,0.472,1.2931,0.094,12.1,2.6,-27.06
35,0.486,1.296,0.0937,14,2.07,-44.04
36,0.5,1.2982,0.0935,15.4,1.34,-53.13
37,0.515,1.2999,0.0934,16.2,0.55,-52.57
38,0.529,1.3012,0.0935,16.3,-0.17,-44.3
39,0.543,1.3022,0.0936,15.9,-0.72,-31.51
40,0.558,1.3026,0.0938,15.2,-1.07,-17.12
41,0.572,1.3026,0.094,14.2,-1.21,-3.98
