/***************************************/
/                JRF LOG                /
/***************************************/

Patient body weight: 80.00 kg
Patient height: 1.20 m

Frame		Fa_x		Fa_y		Ma		Fk_x		Fk_y		Mk		F_k total
1		30.61		5.67		2.88		73.99		44.32		9.98		86.25
2		28.91		0.00		2.95		58.63		37.87		9.79		69.80
3		25.65		-4.59		2.82		44.14		30.82		9.48		53.83
4		21.72		-7.33		2.53		31.61		24.51		8.76		40.00
5		18.03		-7.99		2.14		21.86		20.06		7.61		29.67
6		14.98		-6.86		1.74		14.72		17.47		6.16		22.84
7		12.56		-4.37		1.35		9.66		16.91		4.47		19.47
8		10.67		-0.96		1.03		6.21		18.60		2.65		19.61
9		9.21		2.95		0.80		3.97		22.29		0.89		22.64
10		8.00		6.97		0.67		2.35		27.02		-0.62		27.12
11		6.82		10.95		0.65		0.83		32.30		-1.90		32.31
12		5.44		14.85		0.69		-1.00		38.43		-3.03		38.45
13		3.65		18.47		0.75		-3.75		45.18		-4.11		45.33
14		1.37		21.41		0.83		-7.89		51.43		-5.10		52.04
15		-1.30		23.47		0.89		-13.31		56.31		-6.02		57.87
16		-4.33		24.59		0.94		-20.03		59.71		-6.93		62.98
17		-7.89		24.80		0.91		-27.90		61.70		-8.14		67.72
18		-12.12		23.88		0.81		-36.08		62.05		-9.53		71.78
19		-16.87		21.59		0.61		-43.65		60.54		-11.17		74.63
20		-21.80		17.89		0.28		-50.51		57.62		-13.07		76.63
21		-26.48		13.08		-0.09		-56.91		53.93		-15.20		78.41
22		-30.44		7.62		-0.51		-62.58		49.14		-17.55		79.56
23		-33.09		2.30		-0.92		-66.50		42.81		-19.54		79.09
24		-33.91		-1.79		-1.18		-67.50		36.31		-20.59		76.64
25		-32.36		-3.54		-1.27		-64.62		32.36		-19.99		72.27
26		-28.43		-2.42		-1.14		-57.89		33.55		-17.36		66.91
27		-22.78		1.39		-0.81		-48.56		40.71		-13.07		63.37
28		-69.37		-116.06		-2.72		-91.20		-71.16		-47.64		115.68
29		-5.70		-259.46		6.22		-23.93		-209.32		-28.08		210.68
30		53.50		-412.67		11.59		38.25		-360.07		-10.72		362.10
31		98.25		-551.66		4.37		84.49		-500.32		-5.92		507.41
32		124.57		-653.22		10.14		109.66		-606.50		11.40		616.33
33		140.53		-717.44		6.61		121.74		-677.30		20.54		688.16
34		152.36		-762.79		7.55		129.18		-728.79		35.36		740.15
35		158.63		-802.38		4.04		133.30		-771.87		44.69		783.30
36		154.31		-831.88		-0.36		129.68		-801.86		49.38		812.28
37		137.01		-840.08		-0.05		114.35		-808.91		52.69		816.95
38		110.69		-820.40		-5.38		89.97		-787.55		45.11		792.67
39		85.09		-775.95		-6.91		66.75		-740.90		39.68		743.91
40		66.50		-717.46		-9.42		52.03		-679.48		34.68		681.47
41		54.75		-656.06		-14.54		45.49		-615.32		28.73		617.00
42		46.10		-599.49		-15.10		42.08		-558.13		27.69		559.71
43		38.40		-553.06		-20.18		38.62		-514.18		21.91		515.63
44		31.64		-520.81		-26.52		34.69		-486.29		15.33		487.53
45		26.78		-504.16		-31.72		31.39		-473.24		10.95		474.28
46		24.70		-500.50		-35.58		29.68		-470.92		9.42		471.86
47		24.82		-506.25		-39.25		29.54		-475.78		9.42		476.70
48		24.70		-517.87		-42.82		29.20		-484.91		9.75		485.79
49		21.48		-533.23		-47.11		25.83		-497.07		8.59		497.74
50		14.53		-553.16		-54.57		18.25		-513.99		3.40		514.31
51		6.00		-579.15		-63.67		8.45		-537.82		-3.14		537.89
52		-3.05		-610.08		-63.89		-1.37		-567.56		0.03		567.56
53		-12.65		-644.38		-75.41		-9.67		-601.42		-6.87		601.50
54		-23.77		-682.98		-82.93		-17.37		-640.02		-8.62		640.25
55		-38.29		-725.05		-91.58		-27.98		-682.38		-11.19		682.95
56		-57.07		-765.54		-100.74		-43.75		-723.73		-14.74		725.05
57		-77.60		-800.24		-109.54		-61.64		-760.03		-17.82		762.53
58		-95.42		-827.64		-117.35		-75.37		-789.18		-17.94		792.77
59		-109.83		-845.77		-122.72		-83.53		-808.42		-13.87		812.73
60		-123.22		-850.07		-126.61		-89.25		-813.24		-8.87		818.13
61		-135.79		-835.09		-126.85		-93.94		-798.59		-3.08		804.10
62		-146.06		-796.63		-122.58		-97.29		-759.92		3.17		766.12
63		-151.62		-730.51		-112.77		-98.54		-692.64		9.10		699.61
64		-148.70		-634.53		-97.25		-95.47		-594.99		13.97		602.60
65		-134.23		-513.50		-76.51		-84.79		-472.80		17.76		480.34
66		-108.41		-380.14		-54.61		-64.96		-338.96		18.65		345.13
67		-74.14		-252.28		-34.00		-36.98		-210.62		17.54		213.84
68		-36.94		-143.21		-17.06		-5.43		-100.54		14.85		100.69
69		-2.07		-53.15		-4.59		24.38		-9.66		9.62		26.23
70		25.00		5.16		2.62		47.06		48.17		5.14		67.34
71		24.59		0.49		2.77		43.56		40.81		6.59		59.69
72		23.06		-3.71		2.68		40.17		31.93		7.91		51.31
73		20.88		-6.45		2.39		36.39		23.68		8.66		43.42
74		18.47		-7.10		2.00		31.60		18.35		8.41		36.54
75		16.18		-5.65		1.61		26.00		16.75		7.16		30.93
76		14.21		-2.87		1.28		20.12		17.82		5.40		26.88
77		12.46		0.26		1.03		14.58		19.75		3.57		24.55
78		10.80		3.24		0.87		9.65		21.87		1.93		23.91
79		9.21		6.31		0.77		5.64		25.21		0.38		25.83
80		7.71		9.73		0.74		2.54		30.38		-1.12		30.48
81		6.31		13.37		0.76		0.06		36.81		-2.41		36.81
82		4.98		17.03		0.86		-2.20		43.63		-3.32		43.68
83		3.51		20.57		0.98		-4.74		50.44		-3.98		50.66
84		1.54		23.75		1.07		-8.35		56.67		-4.52		57.28
85		-1.25		26.04		1.11		-13.71		61.23		-5.20		62.75
86		-5.06		26.97		1.10		-21.24		63.65		-6.23		67.10
87		-9.94		26.33		1.03		-30.81		64.42		-7.89		71.41
88		-15.80		24.02		0.82		-41.76		63.94		-10.29		76.37
89		-22.28		19.93		0.46		-53.35		61.56		-13.41		81.45
90		-28.66		14.24		-0.05		-63.89		56.95		-16.93		85.59
91		-33.74		7.77		-0.57		-70.80		50.66		-19.89		87.06
92		-36.51		1.71		-1.02		-72.48		43.93		-21.64		84.75
93		-36.44		-2.63		-1.28		-69.25		38.47		-21.72		79.22
94		-33.52		-4.09		-1.37		-62.21		36.86		-19.80		72.31
95		-28.30		-2.29		-1.24		-52.60		40.38		-16.05		66.31
96		-21.92		2.02		-0.92		-42.24		47.37		-11.28		63.46
97		-15.97		7.24		-0.40		-33.42		54.74		-6.85		64.14
98		-11.76		11.91		0.19		-28.32		60.27		-3.81		66.59
99		-9.57		15.22		0.73		-27.57		62.43		-2.65		68.24
100		-8.67		16.91		1.11		-30.32		60.70		-3.00		67.85
101		-8.15		17.26		1.29		-35.01		56.21		-4.20		66.22
102		-7.56		16.72		1.29		-39.96		51.20		-5.54		64.95
103		-6.58		15.88		1.19		-42.55		47.80		-6.36		63.99
104		-4.90		15.18		1.10		-40.57		46.88		-6.07		62.00
105		-2.64		14.62		1.03		-34.19		47.54		-4.78		58.56
106		-0.52		13.85		0.92		-26.52		48.07		-3.21		54.91
