Frame,Time (s),GRF_x (N),GRF_y (N),"GRF_x, normalized (N/kg)","GRF_y, normalized (N/kg)"
1,0,0,0,0,0
2,0.014,0,0,0,0
3,0.029,0,0,0,0
4,0.043,0,0,0,0
5,0.057,0,0,0,0
6,0.072,0,0,0,0
7,0.086,0,0,0,0
8,0.1,0,0,0,0
9,0.114,0,0,0,0
10,0.129,0,0,0,0
11,0.143,0,0,0,0
12,0.157,0,0,0,0
13,0.172,0,0,0,0
14,0.186,0,0,0,0
15,0.2,0,0,0,0
16,0.215,0,0,0,0
17,0.229,0,0,0,0
18,0.243,0,0,0,0
19,0.257,0,0,0,0
20,0.272,0,0,0,0
21,0.286,0,0,0,0
22,0.3,0,0,0,0
23,0.315,0,0,0,0
24,0.329,0,0,0,0
25,0.343,0,0,0,0
26,0.357,0,0,0,0
27,0.372,0,0,0,0
28,0.386,37.3,87.1,0.657848325,1.536155203
29,0.4,-4.2,192.6,-0.074074074,3.396825397
30,0.415,-43.7,304.1,-0.770723104,5.363315697
31,0.429,-74,404.2,-1.305114638,7.128747795
32,0.443,-91.9,476.6,-1.620811287,8.405643739
33,0.458,-102.7,521.7,-1.811287478,9.201058201
34,0.472,-110.5,552.9,-1.948853616,9.751322751
35,0.486,-114.2,579.8,-2.014109347,10.22574956
36,0.5,-110.5,599.6,-1.948853616,10.57495591
37,0.515,-98.1,604.5,-1.73015873,10.66137566
38,0.529,-79.8,589.9,-1.407407407,10.40388007
39,0.543,-62,558.1,-1.093474427,9.84303351
40,0.558,-48.7,516.7,-0.858906526,9.11287478
41,0.572,-39.8,473.4,-0.701940035,8.349206349
42,0.586,-33,433.4,-0.582010582,7.643738977
43,0.601,-27,400.3,-0.476190476,7.059964727
44,0.615,-21.8,377.1,-0.384479718,6.650793651
45,0.629,-18.1,365,-0.319223986,6.437389771
46,0.643,-16.6,362.3,-0.292768959,6.389770723
47,0.658,-16.8,366.5,-0.296296296,6.463844797
48,0.672,-16.8,375,-0.296296296,6.613756614
49,0.686,-14.5,386.1,-0.255731922,6.80952381
50,0.701,-9.6,400.3,-0.169312169,7.059964727
51,0.715,-3.8,418.8,-0.0670194,7.386243386
52,0.729,2.2,441,0.038800705,7.777777778
53,0.744,8.7,465.8,0.153439153,8.215167549
54,0.758,16.5,493.7,0.291005291,8.707231041
55,0.772,26.8,523.9,0.472663139,9.239858907
56,0.786,40.1,552.6,0.707231041,9.746031746
57,0.801,54.8,576.8,0.9664903,10.17283951
58,0.815,68.1,595.8,1.201058201,10.50793651
59,0.829,79.6,608.6,1.403880071,10.73368607
60,0.844,90.8,612.1,1.601410935,10.79541446
61,0.858,101.5,602.3,1.790123457,10.62257496
62,0.872,110.4,576.1,1.947089947,10.16049383
63,0.887,115.6,530.3,2.038800705,9.352733686
64,0.901,114.5,463,2.019400353,8.165784832
65,0.915,105.2,377.3,1.855379189,6.654320988
66,0.929,88.2,282.1,1.555555556,4.975308642
67,0.944,65.7,190.1,1.158730159,3.352733686
68,0.958,41.4,110.8,0.73015873,1.954144621
69,0.972,18.4,44.4,0.324514991,0.783068783
70,0.987,0,0,0,0
71,1.001,0,0,0,0
72,1.015,0,0,0,0
73,1.03,0,0,0,0
74,1.044,0,0,0,0
75,1.058,0,0,0,0
76,1.072,0,0,0,0
77,1.087,0,0,0,0
78,1.101,0,0,0,0
79,1.115,0,0,0,0
80,1.13,0,0,0,0
81,1.144,0,0,0,0
82,1.158,0,0,0,0
83,1.173,0,0,0,0
84,1.187,0,0,0,0
85,1.201,0,0,0,0
86,1.215,0,0,0,0
87,1.23,0,0,0,0
88,1.244,0,0,0,0
89,1.258,0,0,0,0
90,1.273,0,0,0,0
91,1.287,0,0,0,0
92,1.301,0,0,0,0
93,1.316,0,0,0,0
94,1.33,0,0,0,0
95,1.344,0,0,0,0
96,1.358,0,0,0,0
97,1.373,0,0,0,0
98,1.387,0,0,0,0
99,1.401,0,0,0,0
100,1.416,0,0,0,0
101,1.43,0,0,0,0
102,1.444,0,0,0,0
103,1.459,0,0,0,0
104,1.473,0,0,0,0
105,1.487,0,0,0,0
106,1.501,0,0,0,0
