"For Shaft Dia., mm","For Housing ID, mm","Lg., mm","Flange OD, mm","Flange Thk., mm",Dynamic Radial Load at 120rpm (lb),Dynamic Thrust Load at 120rpm (lb),Base Oil,"Base Oil Temp. Range, °F",Part No.,Price
1.5,5,3,6.5,1.8,13,95,Synthetic Oil,-35 to 300,6659K61,23.74
2,5,3,6.5,1.8,18,90,Synthetic Oil,-35 to 300,6659K62,23.74
2.5,6.5,4,8.5,2,31,160,Synthetic Oil,-35 to 300,6659K63,23.74
3,4.5,3,7.5,0.75,27,115,Synthetic Oil,-35 to 300,6659K201,13.87
3,4.5,5,7.5,0.75,46,115,Synthetic Oil,-35 to 300,6659K202,13.87
3,6,4,9,1.5,37,175,Synthetic Oil,-35 to 300,6659K64,3.32
3,6,5,9,1.5,46,175,Synthetic Oil,-35 to 300,6659K203,13.87
3,6,6,9,1.5,55,175,Mineral Oil,10 to 220,6659K111,1.52
4,5.2,4,7,0.6,49,80,Synthetic Oil,-35 to 300,6659K204,13.87
4,5.5,3,9.5,0.75,37,180,Synthetic Oil,-35 to 300,6659K205,13.87
4,5.5,6,9.5,0.75,70,180,Synthetic Oil,-35 to 300,6659K206,13.87
4,7,6,9,1.5,70,155,Synthetic Oil,-35 to 300,6659K207,13.87
4,7,6,10,1.5,70,200,Synthetic Oil,-35 to 300,6659K65,3.4
4,8,4,12,2,49,310,Mineral Oil,-35 to 300,6659K142,3.3
4,8,8,12,2,95,310,Mineral Oil,10 to 220,6659K113,2.51
5,6,5,10,0.5,75,180,Synthetic Oil,-35 to 300,6659K208,13.87
5,6.2,5,8,0.6,75,90,Synthetic Oil,-35 to 300,6659K209,13.87
5,7,3,11,1,46,230,Synthetic Oil,-35 to 300,6659K211,13.87
5,7,5,11,1,75,230,Synthetic Oil,-35 to 300,6659K212,13.87
5,8,5,11,1.5,75,230,Synthetic Oil,-35 to 300,6659K66,3.54
5,8,8,11,1.5,120,230,Synthetic Oil,-35 to 300,6659K213,13.87
5,8,10,11,1.5,155,230,Synthetic Oil,-35 to 300,6659K671,2.94
5,8,12,11,1.5,185,230,Synthetic Oil,-35 to 300,6659K214,13.87
6,7.2,6,9.5,0.6,110,90,Synthetic Oil,-35 to 300,6659K215,13.87
6,8,6,12,1,110,190,Synthetic Oil,-35 to 300,6659K216,19.1
6,8,8,12,1,145,190,Synthetic Oil,-35 to 300,6659K217,19.1
6,8,10,12,1,185,190,Synthetic Oil,-35 to 300,6659K218,19.1
6,9,10,12,1.5,185,260,Synthetic Oil,-35 to 300,6659K672,3.05
6,10,4,14,2,70,380,Mineral Oil,10 to 220,6659K114,2.23
6,10,6,14,2,110,380,Synthetic Oil,-35 to 300,6659K673,3.07
6,10,10,14,2,185,380,Synthetic Oil,-35 to 300,6659K674,3.29
6,10,12,14,2,220,230,Synthetic Oil,-35 to 300,6659K219,19.1
6,10,16,14,2,290,380,Synthetic Oil,-35 to 300,6659K675,5.05
6,10,20,14,2,370,230,Synthetic Oil,-35 to 300,6659K221,19.1
7,11,8,15,2,170,420,Synthetic Oil,-35 to 300,6659K67,10.56
8,9.6,8,12,0.8,195,190,Synthetic Oil,-35 to 300,6659K222,19.1
8,10,3,15,1,70,390,Synthetic Oil,-35 to 300,6659K223,19.43
8,10,5,15,1,120,390,Synthetic Oil,-35 to 300,6659K224,19.43
8,10,5.5,15,1,135,390,Synthetic Oil,-35 to 300,6659K225,19.43
8,10,6,15,1,145,390,Synthetic Oil,-35 to 300,6659K226,19.43
8,10,8,15,1,195,390,Synthetic Oil,-35 to 300,6659K227,19.43
8,10,10,14,1,245,320,Synthetic Oil,-35 to 300,6659K228,19.43
8,10,10,15,1,245,390,Synthetic Oil,-35 to 300,6659K229,19.43
8,10,16,12,1,390,190,Synthetic Oil,-35 to 300,6659K231,19.43
8,11,6,14,1.5,145,320,Synthetic Oil,-35 to 300,6659K232,19.43
8,11,10,14,1.5,245,320,Synthetic Oil,-35 to 300,6659K676,4.24
8,11,12,14,1.5,290,320,Synthetic Oil,-35 to 300,6659K233,19.43
8,12,6,16,2,145,460,Mineral Oil,10 to 220,6659K115,2.43
8,12,8,16,2,195,460,Synthetic Oil,-35 to 300,6659K677,3.81
8,12,10,16,2,245,460,Synthetic Oil,-35 to 300,6659K234,19.43
8,12,12,16,2,290,460,Synthetic Oil,-35 to 300,6659K678,4.67
8,12,16,16,2,390,460,Synthetic Oil,-35 to 300,6659K679,5.4
8,12,20,16,2,490,460,Synthetic Oil,-35 to 300,6659K235,19.43
8,14,12,20,3,290,810,Synthetic Oil,-35 to 300,6659K236,25.86
10,12,3.5,15,1,105,300,Synthetic Oil,-35 to 300,6659K237,19.43
10,12,6,14,1,185,230,Synthetic Oil,-35 to 300,6659K238,19.1
10,12,7,18,1,215,540,Synthetic Oil,-35 to 300,6659K239,21.89
10,12,9,18,1,270,540,Synthetic Oil,-35 to 300,6659K241,21.89
10,12,10,18,1,310,540,Synthetic Oil,-35 to 300,6659K242,21.89
10,12,12,14,1,370,230,Synthetic Oil,-35 to 300,6659K243,16.37
10,12,12,18,1,370,540,Synthetic Oil,-35 to 300,6659K244,21.89
10,12,17,18,1,520,540,Synthetic Oil,-35 to 300,6659K245,21.89
10,13,6,16,1.5,185,370,Mineral Oil,-35 to 300,6659K146,3.26
10,13,8,16,1.5,245,370,Mineral Oil,10 to 220,6659K117,2.09
10,13,10,16,1.5,310,370,Mineral Oil,10 to 220,6659K118,3.2
10,13,12,16,1.5,370,370,Synthetic Oil,-35 to 300,6659K681,4.04
10,13,16,16,1.5,490,370,Synthetic Oil,-35 to 300,6659K682,4.22
10,13,20,17,2.5,620,450,Mineral Oil,10 to 220,6659K119,3.89
10,14,14,17.5,1,430,500,Synthetic Oil,-35 to 300,6659K246,21.89
