/***************************************/
/                JRF LOG                /
/***************************************/

Patient body weight: 30.00 kg
Patient height: 2.00 m

Frame		Fa_x		Fa_y		Ma		Fk_x		Fk_y		Mk		F_k total
1		11.48		2.13		1.77		27.75		16.62		5.23		32.34
2		10.84		0.00		1.91		21.99		14.20		5.59		26.17
3		9.62		-1.72		1.88		16.55		11.56		5.70		20.19
4		8.14		-2.75		1.72		11.85		9.19		5.46		15.00
5		6.76		-3.00		1.47		8.20		7.52		4.90		11.12
6		5.62		-2.57		1.19		5.52		6.55		4.12		8.57
7		4.71		-1.64		0.91		3.62		6.34		3.17		7.30
8		4.00		-0.36		0.65		2.33		6.98		2.17		7.35
9		3.45		1.10		0.44		1.49		8.36		1.23		8.49
10		3.00		2.61		0.31		0.88		10.13		0.43		10.17
11		2.56		4.11		0.26		0.31		12.11		-0.24		12.12
12		2.04		5.57		0.24		-0.37		14.41		-0.82		14.42
13		1.37		6.93		0.26		-1.41		16.94		-1.36		17.00
14		0.51		8.03		0.28		-2.96		19.29		-1.84		19.51
15		-0.49		8.80		0.31		-4.99		21.12		-2.25		21.70
16		-1.62		9.22		0.33		-7.51		22.39		-2.66		23.62
17		-2.96		9.30		0.32		-10.46		23.14		-3.19		25.39
18		-4.55		8.96		0.26		-13.53		23.27		-3.86		26.92
19		-6.32		8.10		0.12		-16.37		22.70		-4.70		27.99
20		-8.17		6.71		-0.10		-18.94		21.61		-5.73		28.73
21		-9.93		4.91		-0.35		-21.34		20.22		-6.91		29.40
22		-11.41		2.86		-0.62		-23.47		18.43		-8.20		29.84
23		-12.41		0.86		-0.87		-24.94		16.05		-9.30		29.66
24		-12.72		-0.67		-1.04		-25.31		13.61		-9.90		28.74
25		-12.14		-1.33		-1.08		-24.23		12.14		-9.66		27.10
26		-10.66		-0.91		-1.00		-21.71		12.58		-8.43		25.09
27		-8.54		0.52		-0.80		-18.21		15.27		-6.42		23.76
28		-26.01		-43.52		-1.42		-34.20		-26.68		-18.91		43.38
29		-2.14		-97.30		2.08		-8.97		-78.49		-11.14		79.00
30		20.06		-154.75		4.29		14.34		-135.03		-4.28		135.79
31		36.84		-206.87		1.78		31.68		-187.62		-2.20		190.28
32		46.71		-244.96		4.10		41.12		-227.44		4.52		231.12
33		52.70		-269.04		2.87		45.65		-253.99		8.15		258.06
34		57.13		-286.05		3.23		48.44		-273.29		13.85		277.56
35		59.49		-300.89		1.84		49.99		-289.45		17.39		293.74
36		57.87		-311.95		0.07		48.63		-300.70		19.09		304.60
37		51.38		-315.03		0.08		42.88		-303.34		20.20		306.36
38		41.51		-307.65		-1.99		33.74		-295.33		17.23		297.25
39		31.91		-290.98		-2.60		25.03		-277.84		15.09		278.96
40		24.94		-269.05		-3.56		19.51		-254.81		13.13		255.55
41		20.53		-246.02		-5.50		17.06		-230.75		10.83		231.38
42		17.29		-224.81		-5.72		15.78		-209.30		10.37		209.89
43		14.40		-207.40		-7.64		14.48		-192.82		8.15		193.36
44		11.86		-195.30		-10.02		13.01		-182.36		5.67		182.82
45		10.04		-189.06		-11.94		11.77		-177.47		4.06		177.86
46		9.26		-187.69		-13.36		11.13		-176.60		3.53		176.95
47		9.31		-189.84		-14.70		11.08		-178.42		3.56		178.76
48		9.26		-194.20		-16.02		10.95		-181.84		3.69		182.17
49		8.05		-199.96		-17.63		9.69		-186.40		3.23		186.65
50		5.45		-207.44		-20.46		6.84		-192.75		1.25		192.87
51		2.25		-217.18		-23.89		3.17		-201.68		-1.23		201.71
52		-1.14		-228.78		-23.99		-0.51		-212.83		-0.08		212.83
53		-4.74		-241.64		-28.32		-3.63		-225.53		-2.72		225.56
54		-8.91		-256.12		-31.16		-6.51		-240.01		-3.46		240.09
55		-14.36		-271.89		-34.45		-10.49		-255.89		-4.53		256.11
56		-21.40		-287.08		-37.94		-16.41		-271.40		-5.97		271.89
57		-29.10		-300.09		-41.30		-23.11		-285.01		-7.20		285.95
58		-35.78		-310.37		-44.27		-28.26		-295.94		-7.28		297.29
59		-41.19		-317.16		-46.31		-31.32		-303.16		-5.77		304.77
60		-46.21		-318.78		-47.79		-33.47		-304.97		-3.90		306.80
61		-50.92		-313.16		-47.87		-35.23		-299.47		-1.73		301.54
62		-54.77		-298.74		-46.26		-36.48		-284.97		0.63		287.30
63		-56.86		-273.94		-42.56		-36.95		-259.74		2.90		262.35
64		-55.76		-237.95		-36.72		-35.80		-223.12		4.83		225.97
65		-50.34		-192.56		-28.88		-31.80		-177.30		6.44		180.13
66		-40.65		-142.55		-20.54		-24.36		-127.11		7.06		129.42
67		-27.80		-94.61		-12.63		-13.87		-78.98		7.01		80.19
68		-13.85		-53.70		-6.05		-2.04		-37.70		6.42		37.76
69		-0.77		-19.93		-1.14		9.14		-3.62		4.87		9.84
70		9.37		1.94		1.75		17.65		18.06		3.53		25.25
71		9.22		0.18		1.90		16.34		15.30		4.31		22.39
72		8.65		-1.39		1.83		15.06		11.97		4.90		19.24
73		7.83		-2.42		1.60		13.65		8.88		5.14		16.28
74		6.93		-2.66		1.29		11.85		6.88		4.90		13.70
75		6.07		-2.12		0.98		9.75		6.28		4.23		11.60
76		5.33		-1.07		0.74		7.55		6.68		3.34		10.08
77		4.67		0.10		0.56		5.47		7.41		2.43		9.20
78		4.05		1.21		0.44		3.62		8.20		1.61		8.96
79		3.45		2.37		0.37		2.11		9.45		0.84		9.69
80		2.89		3.65		0.33		0.95		11.39		0.11		11.43
81		2.37		5.02		0.33		0.02		13.80		-0.51		13.80
82		1.87		6.39		0.37		-0.83		16.36		-0.95		16.38
83		1.32		7.71		0.41		-1.78		18.91		-1.28		19.00
84		0.58		8.90		0.42		-3.13		21.25		-1.55		21.48
85		-0.47		9.77		0.41		-5.14		22.96		-1.87		23.53
86		-1.90		10.11		0.39		-7.96		23.87		-2.32		25.16
87		-3.73		9.87		0.36		-11.55		24.16		-3.05		26.78
88		-5.92		9.01		0.26		-15.66		23.98		-4.19		28.64
89		-8.36		7.47		0.03		-20.00		23.08		-5.76		30.55
90		-10.75		5.34		-0.30		-23.96		21.36		-7.59		32.10
91		-12.65		2.91		-0.65		-26.55		19.00		-9.23		32.65
92		-13.69		0.64		-0.95		-27.18		16.47		-10.31		31.78
93		-13.66		-0.99		-1.12		-25.97		14.43		-10.55		29.71
94		-12.57		-1.54		-1.19		-23.33		13.82		-9.80		27.12
95		-10.61		-0.86		-1.15		-19.72		15.14		-8.13		24.87
96		-8.22		0.76		-0.98		-15.84		17.76		-5.90		23.80
97		-5.99		2.71		-0.64		-12.53		20.53		-3.72		24.05
98		-4.41		4.47		-0.20		-10.62		22.60		-2.09		24.97
99		-3.59		5.71		0.26		-10.34		23.41		-1.25		25.59
100		-3.25		6.34		0.63		-11.37		22.76		-1.06		25.44
101		-3.06		6.47		0.83		-13.13		21.08		-1.26		24.83
102		-2.84		6.27		0.87		-14.99		19.20		-1.58		24.36
103		-2.47		5.96		0.81		-15.96		17.92		-1.78		24.00
104		-1.84		5.69		0.71		-15.21		17.58		-1.62		23.25
105		-0.99		5.48		0.61		-12.82		17.83		-1.13		21.96
106		-0.20		5.19		0.49		-9.95		18.03		-0.57		20.59
